experiment_name,best_val_accuracy,best_train_accuracy,final_val_loss,epochs_trained,training_time,rotation,zoom,translation,brightness,contrast,noise
trans15pct_cont20pct_noise5pct,0.5762711763381958,0.9984720945358276,5.356123447418213,6,77.85594725608826,0.0,0.0,0.15,0.0,0.2,0.05
trans15pct_bright30pct_cont40pct_noise8pct,0.5762711763381958,0.9996180534362793,2.826205015182495,11,142.3125479221344,0.0,0.0,0.15,0.3,0.4,0.08
trans10pct_bright40pct_cont40pct,0.5762711763381958,0.9996180534362793,3.1157710552215576,12,149.74559497833252,0.0,0.0,0.1,0.4,0.4,0.0
cont30pct,0.5762711763381958,1.0,3.5541982650756836,9,104.49294018745422,0.0,0.0,0.0,0.0,0.3,0.0
bright40pct_cont40pct,0.5762711763381958,1.0,3.3045144081115723,12,140.62779021263123,0.0,0.0,0.0,0.4,0.4,0.0
trans10pct_bright40pct_cont20pct,0.5762711763381958,1.0,6.342114448547363,13,161.8261842727661,0.0,0.0,0.1,0.4,0.2,0.0
trans10pct_bright30pct_cont20pct_noise8pct,0.5762711763381958,1.0,4.177622318267822,10,132.94204258918762,0.0,0.0,0.1,0.3,0.2,0.08
bright40pct_cont40pct_noise5pct,0.5762711763381958,1.0,4.188936233520508,11,133.89267706871033,0.0,0.0,0.0,0.4,0.4,0.05
trans15pct_bright30pct_cont40pct_noise5pct,0.5593220591545105,0.9996180534362793,2.3414359092712402,10,130.16269636154175,0.0,0.0,0.15,0.3,0.4,0.05
trans15pct_bright30pct_cont30pct_noise5pct,0.5593220591545105,0.9973261952400208,2.369448661804199,6,80.20351457595825,0.0,0.0,0.15,0.3,0.3,0.05
bright20pct_cont30pct,0.5593220591545105,1.0,3.9484124183654785,10,118.48750948905945,0.0,0.0,0.0,0.2,0.3,0.0
bright20pct_cont20pct_noise5pct,0.5593220591545105,1.0,3.013045072555542,14,169.24984002113342,0.0,0.0,0.0,0.2,0.2,0.05
trans15pct_bright20pct_noise8pct,0.5593220591545105,1.0,6.325728893280029,9,112.51446056365967,0.0,0.0,0.15,0.2,0.0,0.08
bright30pct_cont30pct,0.5593220591545105,1.0,4.594430923461914,7,84.40815997123718,0.0,0.0,0.0,0.3,0.3,0.0
trans15pct_bright40pct_cont20pct,0.5593220591545105,1.0,5.1963419914245605,10,127.4000358581543,0.0,0.0,0.15,0.4,0.2,0.0
